poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10441175,5637.780632041203,5871.580826156701,231279.9252,248955.4164,EUR,2018-12-31,3.504449,10441175,C2PLANBAUNEU,1903000.0000
10449493,24569.91506820507,25077.73051813285,574688.2851,616506.8550,EUR,2019-09-30,4.251882,DRV-22063885-09,STARIMMOHOM,4650014.0000
10449543,70060.88473802841,78432.77633799266,5638403.5386,6640550.6760,EUR,2016-12-30,1.503080,10449543,ARZRECHENHAA,80000000.0000
10451546,208.23884617787903,200.73059524324879,774714.8682,770236.1690,EUR,2019-10-16,4.295687,DRV-10000301-05,VBDUDWEILER,5000000.0000
10458824,2336.064561920258,2297.179705695131,82535.3228,82031.0942,EUR,2019-10-30,4.334017,DRV-22064323-09,STAEDTLVWNUE,608885.0900
10471294,802.4290648076187,788.3664914210386,1115525.8244,1109189.3210,EUR,2019-10-23,4.314852,DRV-21000157-00,VBOSTEDAMME,7000000.0000
10471793,69365.89755636876,65065.19831966257,5042400.5424,5032197.0070,EUR,2039-10-24,24.317590,DRV-10000158-00,VBRHEINLAHN,10000000.0000
10471808,1271.6589222575426,1322.3957360524555,-3686739.5792,-3662002.9855,EUR,2029-10-23,14.316221,DRV-10000158-00,VBRHEINLAHN,10000000.0000
10482100,908.143794969544,928.0165112264305,34544.3914,37235.6814,EUR,2019-09-30,4.251882,DRV-22064103-09,MAASCHBUR,304995.5900
10483092,0.7240755203356295,0.7287076920761753,1577.2067,3145.3987,EUR,2015-12-30,0.501026,DRV-22019791-06,STOEFERLELAU,150000.0000
10501854,1.9108150535562416,2.0554242673020395,709.7385,709.6397,EUR,2015-11-02,0.342231,DRV-22044754-09,SPARGBAUGEI,69117.9800
10502817,222.80025460659505,217.93739394906623,316269.5393,314432.0510,EUR,2019-11-04,4.347707,DRV-21069114-98,RBELBMARSCH,2000000.0000
10505756,510.2755165754966,521.2938896795694,19368.4231,20853.3577,EUR,2019-09-30,4.251882,DRV-22064971-09,KAINDLRGAU,171502.3500
10506160,4347.932172851355,4477.167526613305,149935.1815,159378.7912,EUR,2019-12-30,4.501026,DRV-22064246-09,NEBELHWHAN,902000.0000
10512854,68.59928615910465,76.57436202512456,5589.6471,9204.7024,EUR,2016-12-30,1.503080,DRV-22065084-09,HRUCKNBG,142110.0000
10530414,0.0,0.0,-1387836.8884,-1387089.4394,EUR,2016-11-11,1.368925,DRV-20018541-01,VRBADSALZUNG,20000000.0000
10560166,1597.4021280885922,1559.941738819589,721865.8513,717236.5676,EUR,2019-11-26,4.407939,DRV-22061346-09,ENERGIEVWES,6700000.0000
10560448,466.7943496532217,485.82406940393116,148645.8791,158115.5265,EUR,2019-12-30,4.501026,DRV-22061931-09,ENWASVERSALZ,1203750.0000
10560501,1985.1256463607774,1991.8762233648954,230576.3236,239716.3460,EUR,2024-12-30,9.503080,DRV-22061931-09,ENWASVERSALZ,1203750.0000
